Year,DAX,JKSE,FTSE,SZSE,MERV,BVSP,HSI,EURO,TSX,BSE,MXX,TA,S&P 500,NIKKEI
1999,0.389801876538201,0.7006391861942038,0.20004332606829145,0.14250415905129343,0.2799841273963779,1.5194575471698113,0.6880095971270817,,0.29724478196881865,0.6383463980984676,0.8006293573364733,0.6246956790392311,0.19526046658878404,0.3678736751979734
2000,-0.07538368919440197,-0.38497663546345673,-0.08518181615381726,0.41047470074307135,-0.24288333388772465,-0.10724315469225365,-0.11004353110306242,-0.00275000000000003,0.061791390655070444,-0.20649958315121297,-0.20725313268859036,0.015085227552092961,-0.10139184665858436,-0.2719212529483571
2001,-0.19794637733527232,-0.058332371813809014,-0.152911069638472,-0.3002662037167837,-0.2912397187054958,-0.11016449308604759,-0.2449943953944873,-0.19732266663010778,-0.1393935621011949,-0.17869299470356248,0.12740014953758672,-0.09662739966199763,-0.13042693172742603,-0.23524903080052084
2002,-0.4394236878997074,0.08394380911196642,-0.24827398483775143,-0.1702999247526933,0.777142036543814,-0.17012814847547508,-0.18214281644279207,-0.3250589787188618,-0.13967794547424361,0.03523553669282342,-0.03847758567936732,-0.25591439860140575,-0.23365963957103564,-0.18626014217031817
2003,0.37078024937433596,0.6281989933342598,0.16020851657894486,0.26111684806724345,1.0420038598820272,0.9733759318423856,0.34916308547269925,0.12715854792660997,0.24286044154887,0.7288942315373028,0.4354743438941433,0.6074296737148239,0.2638039993281984,0.24451586795213798
2004,0.07336908787137975,0.44564256975678185,0.0913456788327287,-0.11846362416150702,0.2830543008221682,0.17808958445763623,0.13153682048660165,0.08039808911451973,0.12477949566902757,0.13079897543022811,0.46872862276209704,0.1900484566976941,0.08993452410946756,0.07606514258504093
2005,0.2707138179617119,0.16236421674549795,0.18039932810589843,-0.06648912060819634,0.12210537097128782,0.2771415483279891,0.045416985007133315,0.23166595930711242,0.21906188873754684,0.4233486307700851,0.37814495095180956,0.2941111320656027,0.030010226581274946,0.4023645733899217
2006,0.21978606941277978,0.552957715452808,0.13308247540241225,1.3212446594896026,0.3545301213434118,0.32932807269249165,0.3420371098786199,0.1881780167381022,0.14514345912421,0.46701567416360823,0.48563442979848137,0.12467950591032184,0.136194317382607,0.06916831170418125
2007,0.22289188284186845,0.5207925678843819,0.025135580167973792,1.6628923859874138,0.029309348505183852,0.4364797409722534,0.3930898811057044,0.033640015693015224,0.07163546146442612,0.47146750101786417,0.11677527075945582,0.24739627946664133,0.035295730663479574,-0.09643306829938914
2008,-0.40374246960286764,-0.5063750998193315,-0.3306089453700969,-0.6335998219057082,-0.4982362824426112,-0.4122342923332185,-0.48270012865801215,-0.4524682800919032,-0.35027575531796684,-0.5244583125018834,-0.24229105651134575,-0.5114369225834261,-0.38485793060906714,-0.4380119565249444
