,DAX,JKSE,FTSE,SZSE,MERV,BVSP,HSI,EURO,TSX,BSE,MXX,TA,S&P 500,NIKKEI,Canada,India,Israel,Mexico,Argentina,Brazil,"Hong Kong SAR, China",European Union,Germany,United Kingdom,Indonesia,China,Japan,United States,Russian Federation,United Arab Emirates
1999,0.389801876538201,0.7006391861942038,0.20004332606829145,0.14250415905129343,0.2799841273963779,1.5194575471698113,0.6880095971270817,,0.29724478196881865,0.6383463980984676,0.8006293573364733,0.6246956790392311,0.19526046658878404,0.3678736751979734,0.23469539646799076,0.7487256178995663,0.7374581492392334,0.4025581595885932,0.4632365950595485,0.20064907040057767,0.4209592800142987,0.2377134034375994,0.23838527770506768,0.245449481974362,0.4958580734651059,1.5827497235532628,0.16057917247422004,0.3718784996005149,-0.4074849447962704,0.6825773893654992
2000,0.2850334838354487,0.045932834155848035,0.09782145609052684,0.6114732118355874,-0.03090268478902447,1.2492629716981134,0.5022550605233598,-0.00275000000000003,0.3774033410667057,0.30002854983384286,0.4274432822174461,0.64920458306044,0.07407080064334615,-0.0040802484369335534,0.29541478637220986,0.8158940142400093,0.866988817824885,0.4718789474476459,0.4516916738486363,0.25333294459368827,0.5298539631806376,0.28603016250039937,0.274238846620257,0.28826145448298823,0.5694553040788108,1.8020641356431994,0.19283901211562715,0.42850256535697273,-0.34823304338255623,0.8651825365814003
2001,0.030665760955697507,-0.015078908818401904,-0.07004759703234043,0.12760226812642328,-0.31314231426932015,1.0014740566037736,0.13421099024213023,-0.19953002929687502,0.1854021829053305,0.06772255506390401,0.6092997698283724,0.4898462326886608,-0.06601695834258536,-0.23836940474724044,0.31362219868124375,0.9034921288752438,0.8692072012151815,0.465926814307297,0.3876889152632068,0.2707529741114554,0.538434283431287,0.3141796530129841,0.29587201187405965,0.326579035292633,0.6266378814869575,2.0357537781054122,0.19768594528907268,0.44276388921964616,-0.3149925947264899,0.8912780262389712
2002,-0.4222331887154134,0.06759911925009576,-0.3009305858265636,-0.06442831328647292,0.2206436664351914,0.6609669811320755,-0.07237739396093956,-0.45972998046875,0.019827641436430454,0.10534433233061335,0.5473778000510152,0.10857313004157221,-0.28425109922171643,-0.3802308277002835,0.3585762701688424,0.9759004997019884,0.8689294250844601,0.46534272336942806,0.23650735692182745,0.30955493148474633,0.5639208099839137,0.3289389525252009,0.2933002364251289,0.35741338971874614,0.6998280526628313,2.3129377073350548,0.1990991281928236,0.46789243934300173,-0.28279730210350096,0.9373014601713552
2003,-0.20800866634709947,0.7382638112475484,-0.1889337119961254,0.17986521668911792,1.4925590784012104,2.2777122641509435,0.25151417731788484,-0.391030029296875,0.26750343273942456,0.9110234400288488,1.2212211322845938,0.7819533447117455,-0.09543367668164338,-0.22868743060544017,0.4103528372114129,1.1312138165555194,0.8870666113370385,0.48653718677715463,0.34577801649569717,0.32449471388917406,0.6117186925026019,0.3412699205589742,0.2840721062770688,0.4020231189069652,0.7810861080139211,2.6454109841503843,0.21742400266626438,0.5098919358714844,-0.2304418469431767,1.1077944658806977
2004,-0.1499009845949486,1.5129081630071233,-0.11484631134007006,0.04009410709802319,2.198088645596013,2.861438679245283,0.4161343729961844,-0.34207000732421866,0.42566187183541127,1.1609833480077723,2.2623710544704174,1.120610827781507,-0.014081934868556245,-0.1700174300368087,0.46555445279198016,1.3000685363258349,0.9660569989562993,0.5448182271134521,0.4672960289596344,0.40078514105087626,0.7519392722340792,0.3761861520384817,0.2993514716008123,0.4353064669383213,0.8706903049603081,3.01400663472171,0.24426440212946776,0.5672510866449165,-0.17503406109520903,1.3094352879007736
2005,0.0802325655108449,1.9209145286471427,0.044834819364638845,-0.029060835432691556,2.5885924460655776,3.9316037735849054,0.4804509265826382,-0.1896500244140623,0.737970054180783,2.075832689503817,3.496020196849736,1.7443060790109008,0.015505689656610588,0.16393815264750167,0.5387715147059002,1.4823128710485083,1.0429631194885611,0.5804696513143555,0.5971760834647772,0.4456401216174757,0.8813747857811232,0.4027515954068297,0.30873088911871327,0.48094532181645766,0.9771806844440805,3.4714338370807303,0.26495241810591397,0.62231196804912,-0.12223652604781066,1.4215616319657425
2006,0.3176526351361566,3.536056753440782,0.18388402351231714,1.253787350441161,3.860856561421258,5.555719339622641,0.9868200828280886,-0.03715997314453101,0.9902250396988725,3.5122947666069058,5.679442401509314,2.0864648050086725,0.1538117938575463,0.24444578959421293,0.6028739294015877,1.6824054732096991,1.1566424765238792,0.6515129932353494,0.7257032626298265,0.5029162201944972,1.0136847749518987,0.4517836450369983,0.35865357931810093,0.5222388839370338,1.0859444406017058,4.040176925912279,0.2829148253738609,0.6686285252218578,-0.050259322066679046,1.659778393214232
2007,0.6113467119132041,5.898401398134499,0.21364163529489444,5.001593175124515,4.003325100413663,8.417158018867923,1.767818952965408,-0.004770019531249781,1.1327957288357569,5.6396951040750505,6.459436096467754,2.8500447144725505,0.19453642416988837,0.12444006377138694,0.7129690701736009,1.887899595807054,1.281155853689088,0.6893565169399158,0.8811485876668268,0.594141290102715,1.1438636148581156,0.4975740976582408,0.39919685199958765,0.5592377100313151,1.2182980789939162,4.757464061924076,0.3041365956243316,0.6999348573599078,0.030468424415782902,1.7444761150092076
2008,-0.03922238894109342,2.4052227015603265,-0.1875991458071904,1.1989848082151084,1.5104870025317552,4.535082547169811,0.431792388266921,-0.4550800170898436,0.38572909397887845,2.157451814264833,4.652081443675713,0.8809896938941237,-0.26519039207328976,-0.3680781285561515,0.7302293349986428,1.9770403365920886,1.349510302431126,0.7086757376903976,0.957471170890992,0.6753499631270901,1.189484087348732,0.5072461071923247,0.41266085376034023,0.5548538572404229,1.351699950431128,5.313306302985626,0.2898753324664074,0.6976130896387662,0.08405246577175918,1.832075299237077
